3, -3, -2, -1, -3, -3, -3, -3, -3, -3, -3, -3, -3, -3, -2, -1, 36
-17, -17, 17, -3, -1, -14, 17, -17, -14, -3, -8, -8, -17, -1, 0, -17, 120
-1, 1, 0, -1, -1, -1, -1, 0, 1, -1, -1, 0, -1, -1, 0, -1, 9
-6, 6, -5, 0, 0, 2, 6, 0, 2, -4, 6, -1, -6, 0, -5, -6, 27
-7, -7, 3069, -7, 0, -3, -7, -7, 2, 3062, 3067, -3, -7, -1, -3069, -7, 56
8, -8, -8, -7, -8, -74, -2, -4, 75, 1, 67, 73, -8, -8, -8, -4, 64
4, -4, 4, -4, 0, -2, 4, -4, -1, -3, -3, -2, 4, 0, -4, -4, 27
-60, -59, 59, -1, 8, -30, -52, -56, -60, 2, -44, -14, 60, -30, -4, -60, 410
7979, -7971, 7979, -7979, 7977, -7977, -4, -2, 7979, 7979, -1, -7979, 7979, -7975, -7978, -8, 39895
1, 1, 8, 0, 1, -8, 0, 0, -8, -1, 7, -8, 1, -1, -8, -1, 27
28, -28, 26, -28, 14, -4, -22, -14, 2, -1, 28, -18, 28, -6, -27, -28, 148
-762, -762, 3069, 758, 0, 4, 3, -2, -4, 3069, 2307, -762, 4, -2, -3066, -4, 2295
1, -3, 192, -9, 0, 50, -12, -12, 50, 150, 192, -50, 3, -9, -189, -1, 84
-3, -3, -3, 45, 0, 30, 0, 1, -15, -44, -15, 42, 0, -1, -3, 0, 42
-4, -4, -4, -34, -4, -68, -1, -2, 102, 34, 98, 101, 4, -4, -4, -2, 29
-47, 43, -43, -47, 4, -11, -47, -2, 12, -12, -35, -1, -47, 4, -45, -47, 337
3, -3, -3, -1, -3, -3, 0, -3, 1, 2, -3, -3, -3, 3, -3, 0, 25
-13, 13, -13, 0, 0, 4, -13, -1, 3, -6, 13, 3, 13, -1, -13, -13, 60
-1, -58, -43, -3, 58, -3, 0, 58, 6, 14, 14, -52, -1, 0, -15, -58, 176
2, 2, 1, 0, -2, 0, -2, 0, -2, 2, -1, 0, 2, -2, -2, -2, 11
1, 5, 0, 0, 5, 0, -4, 5, 0, 0, -1, 5, -1, 0, -1, -4, 6
6, -1, -6, 29, 1, -24, 0, -1, 24, 30, -6, 24, -1, 1, -6, 0, 15
-12, -12, 12, -11, 2, 12, -6, -4, -12, 8, 0, -1, -12, 6, -12, -12, 82
7979, -7977, 7977, -7979, -2, -7979, -7977, -7979, -7979, 5, -7973, -1, -7979, 2, -7979, -7979, 71804
3069, 3057, 12, 3067, 2, -12, -2, -1, 12, -12, -3069, -12, 2, 2, -11, -2, 52
-2, -1, -2, -19, 2, -38, -2, -2, 57, 19, 55, 56, -2, -2, -2, -1, 16
20, 0, -20, 20, -1, -10, 0, -1, -5, 15, -20, -10, 1, 1, -19, 0, 66
16, 13, -14, 0, 3, -3, -16, 0, -2, 3, -16, -1, 16, 3, -16, -16, 68
5, -2, 2, -58, 29, 58, -29, 56, -5, 58, -1, 0, 5, 53, -5, -3, 45
7979, 7977, 7978, -2, -7979, -7979, 0, -2, 7979, 7979, -1, -7979, 7979, 7979, -7979, -7979, 31921
2, -1, -3626, -11, 2, -3616, -2, -10, 3627, -3627, 3625, -11, 2, 11, -3627, -1, 10905
-8, -4, 4, -14, -8, -6, 0, 7, 7, -14, -8, 14, 8, 1, -8, -4, 60
-1, 10, 9, -1, -1, -1, -1, 9, 1, -1, -1, 0, 1, 1, -1, -9, 7
2, -2, 2, -17, 0, 17, 0, -2, -2, 17, -1, 17, 2, 2, -1, -2, 8
6, -1, -6, -3, -6, -53, -6, -1, 56, 3, 50, 55, 6, 6, -6, -5, 31
0, -1, -1, -1, 1, -1, 0, 0, 1, -1, -1, 0, -1, -1, 1, -1, 8
0, -1, -1, -1, -1, 0, -1, -1, 1, 1, 0, -1, -1, -1, 1, -1, 9
-2, 3, -2, 5, -5, -5, -5, 0, 5, 5, -1, 0, -5, -5, 5, -5, 30
-2, 4, 1, -3, 34, -34, 30, -3, 3, 3, -4, -34, -4, -34, 2, -4, 88
4, 11, -3616, -3, 0, 3627, -11, -1, 3627, -1, 3627, -3627, -11, -1, 3623, -11, 3655
-4, -4, 3069, -4, 0, -2, 4, -4, 1, 3065, 3068, -2, 4, 0, -3069, -4, 24
-211, -208, 426, 3626, 0, 3626, -1, 3625, -1279, 3200, 1068, -2347, -1, -3626, 426, -3, 4050
11, 10, -1, 10, -1, -1, -1, 0, 1, -1, -11, 0, -1, -1, 1, -1, 8
-1, -1, -9, 9, 1, -3060, -1, -1, 3069, 0, 3068, 3068, -1, -1, 9, -1, 7
