4432, 4431, -1, 0, -4431, 0, -4432, -1, -4431, 4431, -4432, 0, 4432, -4431, -4432, -4432, 26591
-17, -17, 17, -3, -1, -14, 17, -17, -14, -3, -8, -8, -17, -1, 0, -17, 120
-1, -3, 189, -11, 0, 49, -8, -11, 49, 147, 188, -49, -3, -11, -186, -1, 87
4, -4, 3069, -4, 0, -2, 4, -4, 1, 3065, 3068, -2, -4, 0, -3069, -4, 24
8, -8, -8, -7, -8, -74, -2, -4, 75, 1, 67, 73, -8, -8, -8, -4, 64
-33, -32, 32, -3, -1, -15, -33, -33, -30, -3, -24, -9, 33, -15, -1, -33, 232
1, -3, 192, -9, 0, 50, -12, -12, 50, 150, 192, -50, 3, -9, -189, -1, 84
-4, -4, 3069, -4, 0, -2, 4, -4, 1, 3065, 3068, -2, 4, 0, -3069, -4, 24
2, -1, -2, -19, 2, -38, -2, -2, 57, 19, 55, 56, 2, -2, -2, -1, 12
-4, -4, -4, -20, -1, 23, 0, -24, -4, -24, -1, -24, -1, 24, -4, 0, 91
6, -6, -5, -1, -6, -6, 0, -6, -3, 6, -6, -3, -6, 6, -5, -1, 48
4, -4, 84, -21, -2, -63, -2, -21, -84, -1, 80, -84, -4, 21, -84, -3, 289
-12, -12, 3068, -12, -1, -6, -11, -12, 3, 3057, 3066, -6, -12, 1, -3069, -12, 96
-1, 1, 0, 0, 0, 3069, 3069, -3068, 1, 0, 1, -1, -1, 3068, -1, -1, 4
-1, -58, -43, -3, 58, -3, 0, 58, 6, 14, 14, -52, -1, 0, -15, -58, 176
3, -12, -11, -3066, 47, 3069, -47, 94, 1, 3069, -3, 2975, -1, 82, -3, -12, 86
-4, -4, -4, -34, -4, -68, -1, -2, 102, 34, 98, 101, 4, -4, -4, -2, 29
-9974, -9974, -1, -9974, 9974, 0, -9974, -1, -9974, -9974, -9974, -9974, 9974, 9974, -9974, -9973, 89767
-18, -17, 17, -18, -2, -6, -16, -18, 6, -18, -18, -6, 18, 2, -1, -18, 138
6, 3069, 3, -6, 3066, 0, -3065, 3069, 0, -1, 6, 3066, 6, 0, -1, -3063, 3067
54, 54, -2, 46, -2, 0, -10, 7, -2, -1, -55, -1, 9, 2, -9, -10, 36
-2, 7, -1, -7, -7, 0, -7, 0, -7, 7, -3, -3, -7, -7, 5, -7, 51
11, -1, -12, 55, -2, 3069, 3014, 3069, -10, 49, -6, -43, 0, -3069, 10, -2, 76
22, 19, -20, -3, -3, -3, -22, -3, 3, -2, -20, -1, 22, -3, -22, -22, 102
-1, 25, 12, -2, 142, -136, 117, -2, -19, -6, 11, -142, -25, -142, 13, -25, 358
-2, -18, 71, 5, 0, 59, 13, -12, -55, -71, 53, 0, -16, -4, 71, 0, 107
4, 11, -3616, -3, 0, 3627, -11, -1, 3627, -1, 3627, -3627, -11, -1, 3623, -11, 3655
21, 18, -3, -3303, -3, -3324, -1, 0, 3324, -3324, -1, 3323, -3, -3, 3, -3, 6644
-1, -4, -4, -3323, 4, -3324, -1, -1, 3324, -3324, -4, 3320, -4, -4, 4, -4, 6674
3068, 3053, -14, 3069, -1, -12, -4, -4, 15, -15, -3069, -16, 2, -4, 16, 0, 70
-1, 3, -84, -3, 3, -21, 0, -3, -21, 63, 81, -21, 3, -3, 83, -1, 74
4, 12, 56, -4, -1, -60, -12, 0, -60, -1, 59, -60, -12, -1, -48, -12, 211
-1, -2, 0, -3323, -2, -3324, -2, -2, 3324, -3324, -2, 3322, 2, -2, 2, 0, 6660
-8, -8, -8, -155, -2, 108, -2, -7, -53, 163, -55, 163, -2, 8, -8, -1, 146
-1, 3989, 3987, -2, -12, -4, -3977, 0, -4, -44, -3941, -12, -3989, 12, 3988, -3989, 11986
3066, 3053, -16, 3069, -3, -16, -1, -2, 14, -14, -3069, -16, -3, 3, 16, -3, 74
2, 0, 2, 10, 0, 10, -9, 9, 1, -8, -2, 0, 0, 9, 2, 0, 9
-2, 32, 28, -4, 4, -4, -32, -4, -4, 4, -31, -1, -32, 4, 30, -32, 114
