-33299, -16651, -33299, -16650, -16651, 33299, -16650, -33299, -16648, -16650, -33299, -33299, 233096
24974, -12487, 24974, -12486, 24974, -24974, -24973, -12488, 12487, -24974, 1, 24974, 87408
33298, -33299, -33298, 2, 1, -33298, -33297, -33299, 33299, -33297, -33298, -33298, 233085
-3, -33299, -33299, 33299, -2, -33299, -33299, -3, -33299, 1, -2, 2, 166501
24974, 1, -24974, -4, -24974, -24974, 3, 24974, 24974, 24974, -2, -1, 74924
-7, -9, 9, -4, 24974, 8, 9, -8, -5, 7, 6, -24974, 24994
12486, 16649, 16649, 12487, 16649, 16647, -4160, -12489, 4162, 4162, 2, 4161, 0
3, 7, 5, -7, 8, 6, -4, -2, 19979, -8, -19979, 5, 19990
12489, 12485, -12489, 12487, 24974, 24974, -12488, -12488, -24974, 24974, -12486, 12489, 49951
2, 24974, -24974, -24974, 24974, -3, 24974, 1, 4, -24974, -1, -24974, 99895
24974, 24974, 1, 24974, -4, -2, 4, 24974, 7, -2, 24974, 7, 0
-12486, -24973, 12487, 12488, -24974, 12485, 12490, 24974, -12488, -12489, -24974, 12484, 87410
6, -5, 4, -6, 2, 1, -5, 3, 24974, -5, -24974, 24974, 24988
-12489, -12490, 24974, 12484, 12486, -12490, -12490, -24974, 24974, 24974, 12487, -24973, 74932
-33299, -33299, -16651, 33299, -16651, 16649, -16651, -16650, -16649, -33299, -33299, 16648, 183149
-24974, 24974, 6, -24974, -2, -1, 4, -5, -5, -3, 24974, 2, 49957
18, 18, 8, 7, 17, -17, -24974, 1, -24974, 11, 24974, 18, 49946
-1, 4, -2, 24974, 24974, 24974, -5, 2, -24974, 24974, -5, 4, 24981
-49949, 49948, -1, -49949, -49949, -49949, 49949, -49948, -49949, 49949, 49949, -49949, 299694
-24974, 24974, -4, 2, -6, -24974, 3, 24974, 1, -6, 5, -24974, 74931
-6, -2, 4, -6, -6, 6, 6, 1, 5, 6, 4, 3, 13
-16650, 16651, 33299, 16650, -33299, 16649, 16649, -33299, 16651, 16648, 33298, -33299, 83248
-11100, -11100, -1, -5551, -11099, -5551, 16648, 16648, 5549, 11098, 11099, 16649, 27753
-3, 4, -4, 33299, 33299, 33299, -33299, 4, -1, -33299, 4, -2, 66603
-24974, -6, 1, 24974, 24974, 7, 24974, -4, 12, 24974, 8, 11, 24971
32, -33, -44, -24974, 24974, 1, 24974, -31, -12, -44, 33, 32, 25093
-24974, 4, -2, 5, -4, 2, 1, -5, -5, 24974, 24974, 5, 24984
-33298, 33299, 33299, -33299, -33299, -33299, -2, -33297, -33296, -33298, -1, -33299, 233089
-33299, -16651, -16650, 33299, 16651, 16649, 16651, -33299, -16647, 16646, -33299, -16651, 133199
-2, 33299, -33299, 33299, -1, 33299, -33298, -33299, -33299, -33299, 33299, -33297, 166495
-13, 13, 6, -13, 12, 24974, 24974, -24974, -6, 24974, -5, 24974, 24993
16649, 1, 7, 5, 6, 2, 6, 4, -6, -3, -3, 7, 4
-16648, -33299, 16652, 16652, -33299, 33299, 16650, -16647, 33299, -16651, -33299, -16650, 133194
-2, -33298, 33297, -33299, -33299, -33299, -33299, 1, 33299, 33298, 33299, -33299, 166496
1, -5, 2, 5, 24974, -24974, 24974, 4, 5, -5, 2, -4, 24982
-24973, -16650, 8324, -8327, -24974, -24974, 16649, 8323, -8326, 24974, -24973, -24974, 133197
12486, 24974, 12488, -12489, 12486, 24974, 16649, 24974, 24974, -12485, 12486, 8325, 0
-12495, -12484, -12495, -12494, 12495, -24974, -24974, -12479, 12482, -12495, -12491, -24973, 137380
50, -24974, -71, 48, -48, -33, 82, 82, 51, 49, -1, 24974, 25044
16651, -33299, 33299, -16649, 16648, 33299, 16649, -33299, -16651, 33299, 33299, -16650, 83249
