-9973, -9973, -9972, 9973, -9974, 9974, 3, 2, 9974, -9971, 1, 9973, -9974, 9973, 49863
7470, -9974, -4986, -7471, -2504, 9974, 7490, 9974, -2503, 9974, 2485, -9974, -9974, 7471, 37412
13299, 13297, -1, -13297, -13299, -13299, -13296, -13299, 13299, 13299, -13297, 2, -13298, -13299, 93086
8, -9974, -7, 9974, -4, 9974, 3, -7, -5, -7, -2, -8, -9974, 6, 19978
6, -9974, 4, -9974, 6, 12, -9974, -5, -3, 12, -9, -9974, 8, 12, 39900
-8, -7, -9974, 6, 9974, 9974, 3, 9974, 9974, -9974, -8, 2, -3, -8, 19973
10, 9974, -9974, 2, -11, 9974, -9974, -11, 6, 4, -9974, -6, 8, -1, 29939
3324, -9974, 9974, -9973, 9974, -9974, 3327, 9974, -6650, -9973, -6648, -3326, -3323, 9974, 49867
-9974, 9974, 3, 4988, -9974, -4989, -4986, 9974, 4987, 9974, 4985, -9974, -9974, 4987, 39897
-9974, -5, -9974, 3, -6, -6, 4, 1, -5, 6, -9974, -2, -9974, 6, 39913
6, -1, -9974, 9974, -9974, -4, 5, 9974, -2, 6, -3, 9974, -3, 9974, 19954
-9974, 13, -10, 9974, 6, -9974, -5, -9974, -16, 12, -7, 9974, 14, 9974, 29941
9974, -9, -9, -9974, -9974, -8, 9974, -9974, -9, -9974, -1, -9974, -2, -2, 49900
1, -5, 4, -6, -6, 9974, 2, -6, -9974, 9974, 3, 5, 9974, 9974, 9990
-9974, -4986, 9974, 2495, 7480, 4988, 2493, -9974, -4987, 9974, 4988, 9974, -9974, 9973, 29921
6648, 6650, 13299, 6652, -6651, 13299, -13299, 6650, -13299, -6647, 6652, 13299, 13299, -13299, 39896
13299, 6650, -6651, -13299, -13299, 13299, 13299, 6648, 6650, -6650, -13299, 13299, -13299, 13299, 53198
3, 10, 9974, 10, -9974, -9, 9974, 10, -8, -9974, 4, -6, 6, 5, 19958
6, -7, -7, 7, -9974, -2, 7, -9974, -1, 9974, -4, -9974, -4, 5, 29939
9974, -9973, -4988, -4988, 4988, 9973, -9974, 4987, 9973, 4986, 1, -9973, -9973, -4987, 44882
-9974, -3, -9974, -10, -7, -9974, -6, -9974, 9974, -10, -7, 2, 6, 9, 39927
9974, -9974, -9974, 9974, -4988, -9974, 9974, 4987, -4987, 4986, 9974, 4987, -4988, -4988, 39899
9974, -5, -9974, 9974, 4, 9974, 7, 9974, -2, 7, -6, 3, -8, 9974, 9985
6648, -9974, -9974, 6644, -6649, -9974, -6649, 3323, 3328, 3327, 9974, 9974, -3322, 6650, 36570
-7, 9, 3, 9974, -5, -6, -4, 5, -9974, -9974, -9974, 9974, 9974, -7, 29941
-9972, -4, 9972, 9970, 2, -9974, -9972, -1, 9973, 9971, 9974, 9969, 9971, 9974, 19949
-6651, 13299, -13299, 13299, -13299, 6654, 6652, -13299, -6645, 13299, 6654, 6653, 6644, 6646, 39896
7, 9974, 8, 6, -3, -7, -4, -9974, -9974, 7, -8, -9974, 9974, -6, 29939
-5, -1, 2, -9974, -9974, -8, 9974, -5, -6, -9974, 8, -9974, 9974, -7, 39919
-8, -4, 6, -9974, -7, 9974, 7, -8, 8, -9974, -8, -2, 3, 9974, 19975
-9973, -4988, 4989, -4989, 4987, -9974, 9974, 4984, -4989, -9973, -4985, 4987, 9974, -4986, 44883
-13299, -13299, 13299, -6650, 6650, 13299, -6650, -6650, 6651, -13299, -6648, -13299, 13299, -6651, 73146
-6, -9974, 2, 9974, -5, 9974, -1, 9974, 9974, -9974, 2, 6, -7, 9974, 19959
-4990, -9974, -2494, 7482, 9974, 4991, -4990, -2493, 2497, 2492, -9974, 9974, 4988, 9974, 27432
-9974, 4986, 4987, 9974, -9974, -9974, 4985, -4984, 4990, 4989, -9974, 4988, 4990, -9974, 44880
13299, -13299, -1, -13298, -13299, -13299, -13299, 13298, 13299, 13299, -2, -13299, -13297, 13299, 79794
-9974, -4987, 9974, -4989, -4988, 4988, 4987, -9974, 4986, -9974, -9974, 4985, -4989, -4986, 54861
13298, -13299, 13299, -13299, -13299, 13299, 13299, 2, -13299, -13297, -13298, 13299, -13299, 1, 79791
-13299, 13297, -13299, 13299, 13299, 13299, 2, -13299, 13299, -13298, 13297, -1, 13298, -13299, 53196
9974, 3, -9974, -15, 9974, -9974, -16, 17, -9974, -18, -15, -3, -9974, 2, 39944
6651, 13299, 6650, -13299, -13299, 6648, 13299, -6651, -13299, 13299, 6651, 6650, -6651, 6651, 39900
-9973, 9974, -9970, -9973, -9973, 9974, 9972, 9974, 2, 1, -4, -9974, 9974, 9974, 39893
-1, 9974, -5, 7, -9974, 9974, 4, -6, 2, 6, -4, -7, -7, -7, 10003
-9974, 2, -9974, -6, 8, -9974, -1, 9974, -7, 9974, 9974, -8, -7, -2, 29944
13299, -13298, -2, 13299, -13299, 13299, -13299, 13299, 13296, -1, 13299, -13297, 13297, 13298, 39897
-8, -9974, -9974, -10, 3, 9974, 11, -5, 10, -4, 9974, 9974, 9974, 9, 19962
9974, -1, -6, 9, 9974, -9974, 8, -9974, -9, -7, 9974, 9974, -2, 4, 19963
-13299, 13299, -6649, -6651, -6650, 13299, -13299, -6648, -13299, -13299, 6650, -6650, 13299, -6647, 79794
-13299, 6651, -6650, -6651, 6651, -13299, 13299, 13299, 6649, -13299, -6650, 13299, 6651, 6648, 46549
-6, -9974, 6, -9974, 9974, -3, -2, -1, -7, 9974, -7, -7, 5, 9974, 19973
9974, -9974, -4983, 4987, -9974, -4988, -4989, -4990, 4989, -9974, -4986, -4987, -4990, 9974, 54861
4433, 13299, 13299, -4432, 13299, -8866, -4434, 13299, 8867, -13299, 13299, 8867, 8867, -8867, 26599
13299, 13298, -13299, 13299, -2, -13296, -13297, 13299, 13299, -13299, 13299, -13297, -1, -13298, 66490
9974, -3, -9974, 5, -11, 9974, 11, -6, 13, 7, 9974, 9, -9974, -13, 19965
1, -4986, 9973, 9974, 9974, -9973, -9974, 9974, 9974, 9974, 9973, 9974, -4986, 4988, 19945
9974, 4989, 9974, 4987, -9974, -3, 4986, -9974, 4989, -4985, 4988, 9974, 4989, 4987, 14962
-5, -9974, 11, 7, -9974, -9974, -9974, -9974, -5, 9974, 1, 11, 7, -9974, 59842
-14, 9, -1, -7, 14, -8, 14, -9974, -9974, -9974, -8, 9974, -9, -6, 29960
6, -7, 5, -9974, 4, -7, -8, -7, -9974, 8, 3, -5, 9974, 8, 19971
7, 4, 8, 6, -5, -2, -9974, 9974, 9974, 9974, 9974, -3, 9974, -6, 9980
-9974, -9974, -3325, 9974, -6651, -6650, 9974, 3326, 9974, -3323, 9974, -3324, 9974, 6651, 33247
-9974, -9974, -5, 9974, -2, 7, -3, 9974, -6, 4, -9974, -6, -1, -8, 29944
-9, -4, -9974, -6, 10, -10, -9974, 9974, 9, 8, -3, -5, 6, 9974, 19972
-9974, 9, 9, 1, 9974, -10, 10, 9974, -10, -2, 9974, 9974, -10, 2, 9995
-13297, -13298, 1, -13299, 2, -13299, 13299, 13299, -13299, -13298, 13297, -13298, 13299, -13299, 93088
-5, 4, 4, -3, -8, -9974, 9974, -9974, -8, 7, -2, -9974, -9974, -9974, 49886
-28, -39, 19, 39, 9974, 19, -9974, 9974, 27, 20, -9974, -9974, -8, 9974, 29950
3, 9974, 9974, -5, -9974, -4, 2, 5, 6, -9974, -5, 7, -9974, 7, 29928
-13299, -13299, -5, 3, -4, 1, -13299, 5, 13299, -13299, -3, 13299, -5, -2, 53209
6, -2, 7, -5, -6, 9974, -3, -9974, -9974, -4, -4, -9974, 7, -6, 29943
9974, -5, -9974, 9974, 3, -3, -4, 9974, 9974, 9974, -9974, 4, -2, -9974, 29928
-13299, -6650, -6649, 13299, 13299, -6651, 13299, -6649, -13299, 13299, 13299, -6648, -6651, 6651, 53197
1, 11, -5670, -10, -9, 11, -10, 5689, 5688, 5699, 5699, 5697, 5699, 5698, 0
-9973, 9973, 9973, 9971, 9974, -9971, -2, 9972, 9974, 1, 9972, 9974, -9973, 9974, 19945
-4988, -9974, 4987, 9974, -4989, 4989, -9974, 4988, 9974, 4985, 9974, 4987, 9973, -1, 19952
-13299, 13299, -6650, -6649, -13299, -6649, 6649, 6650, -13299, -6650, -6648, -6650, -13299, 13299, 79794
-9974, 9974, -9974, 2, 9973, 9974, -1, 9973, -9972, -9974, 9974, -9974, 9974, 1, 39895
-6649, 6650, -6650, 13299, 13299, -6650, -6650, -6649, 13299, -13299, -13299, -13299, 13299, 6650, 59846
-4989, 9974, -4989, -4987, 4989, -4986, -9974, 4985, -4987, -4989, 4988, -4987, 9974, -9974, 44888
9974, -9974, 4, -6, 3, 1, -2, -6, 5, 4, 9974, 6, 9974, -9974, 19955
-6, -6, 6, -5, 3, 1, 9974, -4, 9974, -9974, -5, 6, 5, -2, 9995
-5, 9974, -8, -4, -6, -5, -7, -8, -9974, 7, 3, 7, 9974, -9974, 19980
1, -4, -6, -9974, 5, -3, -6, -6, 5, 9974, 5, -2, -6, -6, 10006
4988, 1, 9973, 4986, -9974, -9974, 4988, -9974, -9974, -9974, -9974, 9973, -9974, 4986, 59844
-4992, 4992, -9974, -4992, 4992, -4985, 9974, 9974, 4982, -4988, 4991, -9974, -4992, -4986, 39909
13298, -1, 13299, -13299, 13299, -2, -13299, 13299, -13297, -13299, 13299, -13299, -13299, -13299, 79795
4985, -4990, -9974, 4987, 4989, -4990, -4990, -9974, 4986, 4988, 4987, -9974, 4990, 4984, 34918
6650, -13299, -13299, 6649, 6649, -13299, 6650, 13299, 6650, 13299, -13299, -13299, 6648, 6650, 53197
9974, 9974, 2, -4, -4, 2, 9974, -1, 3, -4, -9974, -9974, 4, -4, 19960
9973, -9972, -9973, -9974, 9973, -9971, 9974, -2, 9972, -9971, -9974, 9974, 1, 9973, 49863
9974, -4988, 7479, 2494, -9974, 9974, 4987, 9974, 4986, -9973, 4987, 2495, 9974, -9973, 24934
4986, 9974, -4984, -3, 9974, 4988, 9974, -4990, 9974, 9973, 9974, -9974, -9974, -4991, 24942
-9, 8, -7, -1, -9974, 9, 7, -3, 8, -9, -7, 6, 9974, -4, 10004
-9974, -9974, -7, -1, 8, 9, 9, -4, 9974, 9974, 2, 9, -3, 9974, 19953
-4988, 9974, 4986, 4989, 4984, -4983, -4991, -4985, -9974, 9974, -9974, -4990, 9974, -9974, 44885
-6, 6, -9974, -6, -5, 9974, 9974, 3, 5, 2, -1, -9974, -9974, -9974, 39907
-2, 5, 6, 9974, 9974, 8, -7, -7, -9974, 8, 4, 3, -9974, 9974, 19954
9974, -6, -9974, 9974, 8, -4, -2, 9974, 7, 9974, -9974, 5, 3, -9, 19959
-6, 9974, -9974, 7, -5, 2, -9974, 9974, -1, 8, 9974, -8, -9974, 8, 29933
-4984, 4987, 4988, 9974, -9974, -9974, 2, 9974, -9974, -9974, 4985, -4989, -4986, -4988, 49870
13299, 2, -13298, 13299, 13296, 13299, -13299, 1, -13297, 13299, 13298, -13299, 13299, 13298, 39894
8, 6, 8, -3, -4, 9974, -2, -9974, -5, 6, 9974, -9974, -7, 8, 19959
