6981, 9974, 998, -4987, 1994, -3989, -997, -6981, -6980, 6980, 9974, -9974, -6981, -5983, 38894
9974, -22, 26, 28, -9974, -23, -26, -28, 2, 26, 7, 4, -28, 9974, 10072
-2660, 3994, -7979, 1329, -3993, -3993, -1330, 3994, -7979, 1332, 3994, -3994, 2662, -2663, 29268
9974, -3, 5, 6, -4, -6, 6, 9974, 6, -9974, -4, -1, -2, -6, 9993
7979, -5319, -5319, 5318, -2661, 7978, -1329, -3988, -5319, 2660, -5320, -3991, -7979, 2659, 33246
4986, 9974, -4985, 9974, -7480, 7479, -4989, 9974, 7480, 2495, -2494, -9974, -4988, -7480, 32416
4989, -4993, -4981, -9974, -9974, 4990, -4982, 4983, -9974, -4981, -9974, -9974, 9974, 4988, 59836
9974, 9974, -4987, 4984, 4987, -4986, -9974, 4987, 4985, 4983, -4987, -4986, -4988, -9974, 34912
-9974, 17, -9974, 12, 17, 2, -19, 3, -19, -17, -17, 9974, 19, -15, 20015
-9974, -9974, 3, 9974, 9974, -9974, -5, 9974, 5, 4, -4, -1, 2, -5, 29930
7480, 9974, -7483, -2495, -4987, 2496, 2491, 4988, 7483, 9974, -2492, -9974, 9974, -7483, 24940
-9974, -9974, -6, 9974, 1, -11, -9974, 2, -4, -10, 12, 9974, -9, -6, 29955
2658, -2662, -5319, 5320, 5321, 7979, 2663, 7979, -2659, 5321, 2660, -7979, -5316, 7979, 15956
-3990, -4, 3992, -3989, -3987, -7979, 3992, 7979, 3992, -3991, -3992, 7979, -3988, 3989, 23941
9974, 5, -6, 9974, 3, 9974, 1, -9974, -5, -9974, 6, -2, -4, -9974, 29932
-3, 7978, 7976, -7978, 7977, 7979, 1, -7979, -7979, -3, 7979, -2, -7977, -7977, 31919
-7, 9974, -7, -8, 2, -9974, -5, -3, -4, -9974, -9974, 6, -9974, 9974, 39920
2493, -4987, 9974, 4986, 2495, 7481, -9974, -7480, 9974, 9974, 9974, -9974, -7481, -7481, 37403
-9974, 2, -9974, 5, 9974, -4, -9974, -9974, 3, 2, -4, -6, 9974, -5, 39907
1, 9, -9974, 9974, -9974, 4, -9, -6, -9, 7, 9974, 2, 4, -9974, 29936
9974, -5, -9, 1, 8, -9974, 2, -9974, 9974, -9, 6, -8, -8, -5, 19982
9970, -4984, 4, -9974, 4983, -4991, -4987, 9970, -9974, -4990, 4990, -4991, 9974, -9974, 44891
9, 6, 10, 8, -4, -15, 11, 3, 7979, 7979, 14, -10, -14, -15, 40
-3, 9974, 4988, 8, 4988, 4983, 4988, 9974, -9974, -4987, -9974, -9974, -9974, -4, 39899
4987, -9974, 9973, -4986, -9973, 9973, -9973, -9971, -4988, 1, 9972, 2, 9973, -9973, 49864
-3994, -7979, 3987, -3985, -3993, -7973, -3988, -3986, 7973, 7973, -7973, 7979, -6, -3992, 39890
7, -7979, 7979, 15, 13, -1, 2, 12, -7979, -7979, -4, 7979, -7, 9, 23933
-9974, -9974, 9974, 2493, -4989, -9974, -4985, 2495, -7481, 9974, 9974, 9974, -7479, 4987, 44882
-5, 7976, 7975, -7976, 7979, -7974, -3, -7979, 7975, -7979, -4, 2, 7976, -7978, 31919
9974, 9973, 8, -9970, -9968, -9974, -6, 7, 9974, -9967, 9966, 9968, -9974, 9973, 39885
6, -7974, 7977, 4, -5, 7972, -7969, 7979, -7979, -7979, 7975, 7979, 7973, 7974, 23927
-8, -8, 9974, -3, 7, 8, -8, -9974, 5, -4, -8, -9974, 9974, -1, 19979
-5, 6, 7, -8, 9974, 8, 9974, -3, -5, 9974, -9974, -9974, 9974, -4, 19962
795, -6390, -7185, 796, -794, -7979, 6390, 7183, 7184, 7979, -796, 7979, 7185, 7184, 15165
-3, -7979, 17, 7979, 14, -6, -4, 13, -22, -7979, -9, 16, -7979, 7979, 23958
-9974, 7, 1, -2, 9974, -4, -7, 4, -9974, 9974, 6, -7, 9974, -9974, 29934
4, -7, 7979, -5, -7, -7979, 3, 6, -4, 7979, 7, 9, 2, 9, 7992
3992, -7979, -7979, 3989, -3991, -3989, -3, -7979, 7976, -3992, -7979, -3991, 3987, -3988, 43891
8, 2, -7979, -7979, 3, -9, 11, 8, 11, 7979, -7979, -4, -2, -6, 23946
1, 9973, -9974, 9974, 9974, -2, 9973, -9970, -9970, -9974, 9972, 9973, 9974, -9974, 39890
-9974, -8, 9, 7, -9974, 6, 3, 9, -8, 6, 2, 5, 9974, -4, 19957
9974, 3, -9974, 6, -9974, -9974, -9974, -5, 8, -7, -7, 9, -8, -11, 39920
