-10, 5, 9, 10, -3, 5, 6, -9, 9, 8, -7, -9, -2, 1, 30
-12, -7, 12, -15, -3, -15, -4, -6, -8, -15, 11, 15, 6, 15, 70
-8, -5, -7, 4, 10, 8, -3, 6, -10, -10, -2, 10, 8, -6, 41
4, 12, -8, 9, 2, -12, -12, 10, 9, 12, -5, -10, -3, -7, 45
-5, 2, 4, 1, -2, -5, -4, -5, -5, -3, -4, -3, 5, -5, 36
-14, -14, -6, 1, 14, -14, -13, 13, 14, 10, 14, 8, 2, -4, 51
-1, -20, 17, 20, -12, -4, 19, 20, 18, -8, -16, 10, 10, -2, 43
10, 5, 10, 10, -1, 6, -4, -8, 4, 2, 7, 7, -10, 10, 13
-14, -14, -4, -15, -14, -19, 19, 19, 7, -8, -9, -10, -5, -11, 104
-7, -6, -5, 7, 7, 2, -5, -7, -6, 1, 5, -3, 4, -6, 38
6, -3, -8, -5, -11, 11, -4, 11, 11, -6, -11, 7, -2, 8, 39
-7, 4, -6, -1, -3, -7, -5, -7, -7, -2, -7, -6, -7, 5, 58
16, -13, -16, 3, -13, 10, 12, -16, 2, 14, -11, -6, -16, -4, 79
-6, 3, -6, 3, -5, -5, -6, -2, -6, 6, -6, 5, 4, -1, 37
-6, 2, -4, 8, -6, -6, -8, 7, 7, 7, -6, -4, -1, -8, 41
1, 9, -7, 8, -3, -2, -6, -3, 7, -9, 7, -9, 9, 9, 30
-7, -10, 10, 9, -12, -4, -12, -12, -8, 9, 2, 12, -5, 3, 58
18, -2, -18, -15, -10, 12, -3, -9, 8, -12, -18, 8, 18, 6, 69
12, -5, 3, -10, -7, 8, -12, -10, -12, -12, 2, 4, 12, 12, 56
-4, 7, 2, -9, -7, -5, -9, 6, 3, -9, -6, -4, 9, 6, 44
-3, 8, -9, 8, -8, 2, -9, -6, -10, 1, 10, -9, -9, 4, 53
17, -6, 25, 12, 7, -8, 16, 10, 25, -9, -25, 18, -12, -25, 60
-11, -15, -3, 15, -2, -11, 12, 12, 10, 4, -5, 15, 15, 10, 32
14, -10, -14, 15, 17, -5, 2, -3, 17, -15, 17, 6, -15, 11, 45
12, 13, 15, 17, 13, 3, -14, 14, -2, -4, -13, -7, 17, -10, 33
-3, -8, -6, -7, -8, 8, -8, -8, 8, 5, -7, -1, -2, 2, 50
-6, -2, -2, 6, 3, -6, 1, -5, 4, 6, -5, 4, -5, -5, 30
-13, 1, 14, -13, -8, -12, -14, -2, 10, 12, -11, 6, -4, -9, 72
-7, 1, 3, 5, 5, -6, -3, -7, -5, -4, 7, -7, -2, 6, 34
-8, -7, 8, 8, 8, -6, 8, 3, -7, -2, -1, 3, -7, 5, 30
