-6, 4, -6, 7, -7, 2, 1, 19979, 4, 19979, 11
-33299, -16650, 33299, 16649, 16649, -33299, -33299, -33299, -33299, -33298, 183144
4, 7, 7, -7, -6, 19979, 4, 1, 0, 2, 5
-4, -24973, -24973, 24972, -24974, 24970, -2, -24974, -24974, -1, 99901
15983, -3994, 15984, 19979, 19979, 3996, -7993, -7992, 19979, 3995, 0
33299, 33299, -33299, -1, -33297, -33299, 33297, -33299, 33298, 33299, 99896
19979, -19978, 19977, 19975, 19979, -1, 4, 2, 19979, 4, 0
1, 1, -5, 2, -19974, 19979, 19976, 19979, 19979, 19979, 0
-2, 12488, 12488, 12487, 24974, -12486, -12486, 12487, 24974, 24974, 0
-49949, -49949, 49948, -49949, -49949, -49949, -49949, 49949, 1, 49949, 249745
9989, -19978, -9992, -9992, -9989, 19979, 19979, 9987, 9990, 1, 29972
9, 10, -24974, -10, 10, 1, 24974, -3, 24974, -2, 24978
19979, -3, 13, 12, 15, 2, -7, 4, 19979, -7, 0
33299, 33299, -16649, 33299, -16649, 33299, 16650, 33299, -33299, -33299, 66597
18730, -12487, 24974, -24974, -24973, 12487, -24974, -24974, -6242, 6244, 93650
24974, -24974, 12498, 12501, -12472, -24974, -12470, -24974, 12499, 1, 74893
24973, -24974, 3, 24974, -24970, 24974, -1, 24974, 24971, -1, 24972
-16651, 16649, 33299, 16649, -33299, -33299, 16650, -16648, -33299, 33299, 99897
16648, -16650, 16651, -33299, 16652, -16651, 33299, 16647, -33299, -33299, 99899
19979, 8, 12, 19979, 19979, -3, -6, -1, 5, -3, 0
-19978, -19979, 1, -19977, 19979, 19979, -19973, 2, -2, 19979, 59930
-33299, 33299, -33299, -16650, 33299, 16649, -33299, 33299, 16649, -33299, 116547
-1, -24973, -24972, -24974, -24974, -24974, -24974, -24970, 24974, -2, 149840
24974, -3, -24974, -24973, 24970, 24974, 24971, -1, 24974, -1, 24978
-4, -24974, 24974, -5, 24974, -24974, -2, 1, 2, -24974, 74927
11, -4, 7, -5, -12, 9, 19979, 19979, 1, 2, 8
12490, -12487, -12490, -24974, 12486, -24974, -12488, -1, -24974, 12484, 87414
-6, -7, 24974, 6, -7, 3, -24974, 3, -2, -24974, 49961
-16649, 16650, -33299, 16650, 16649, -33299, 33299, 33298, -33299, 33299, 83247
-16650, 33299, 33299, -33299, 33299, 16649, -16649, -33299, 33299, -33299, 99897
-24974, 6243, -24974, -18731, 12488, -6243, -24974, -24974, 12487, 24974, 99896
49949, -49948, -49949, 49949, 1, 49948, -49949, -49949, -49949, -49949, 249744
-16651, 33299, 16651, 16650, -33299, -33299, 16649, -16648, 33299, -33299, 99897
-14984, -19979, -14986, 19979, 19979, -4993, 4995, 19979, -4995, -4995, 44953
33299, -16649, -33299, 33299, 16649, 16650, 33299, -33299, -33299, 33299, 83247
24974, 24974, 24973, 3, -24971, 24974, -24974, -24974, -1, 1, 49946
-49948, 1, -49949, 49949, 49949, -49949, 49949, 49948, 49949, -49949, 149846
-19978, -19975, -19977, -8, 19978, 2, 4, 19971, 1, 19979, 39959
-12486, 24974, -24974, 12487, -24973, 12488, -12487, -24974, 12488, -24974, 99894
-33299, -33299, -16650, -33299, -33299, -33299, 33299, 16649, -33299, -16649, 199794
-19979, 19978, 19975, -19978, -19979, -2, 19979, 5, 6, -1, 39960
-19977, -19977, -19976, 19977, 1, 3, 3, 19979, 19978, 2, 39951
-33299, -1, 33298, -33299, -33299, 33299, 33299, -33299, 1, -33299, 133197
16651, 33299, -33299, -16650, -16651, -33299, 16648, 33299, 16650, -33299, 99899
-5, 6, 4, 19979, 2, 5, 3, -1, -19979, -19979, 39957
24974, 24974, -4, -5, 5, 2, -24974, -1, -24974, -2, 49954
-24974, -12488, 24974, 24974, -24973, -12486, 24974, 1, -12486, 24974, 62433
-16649, 16649, -33299, 33299, 16650, 33299, -33299, 33298, -33299, 33299, 83247
-24973, 24974, -24971, -2, -24971, 1, 24974, -24974, -24974, -24972, 124863
-19979, -13320, 6659, -19978, 19979, 19979, 1, -6659, -6659, 19979, 46616
6, 3, 2, -4, 24974, -24974, -24974, -1, -5, 24974, 49951
19977, 19979, 19978, 19975, 19978, -5, 4, -1, -2, -19971, 0
19978, 19979, 19978, 19979, 19976, -4, -19973, 3, -1, -1, 0
-24972, 4, -24974, 24974, -24973, -2, -1, -24974, -24970, -24974, 124866
-19979, 10, 8, 10, 3, 9, 4, 2, 19979, 19979, 19967
-24974, 16650, 16649, -8324, 24974, -8324, -8325, 24974, -24974, -24974, 74921
33299, -16650, -33299, 16649, -16650, -33299, -16649, 33299, -33299, 16648, 116548
-16651, 16650, -33299, -16651, -33299, 16649, -33299, 33299, -33299, 16648, 133199
15984, -3996, 19978, 19979, 11988, -7991, 3995, -7991, 19979, -1, 0
-19979, 9988, 9990, -9989, -9991, -9991, 19979, -9991, -9990, 19978, 49952
