-12488, 12486, -24974, 12486, -24974, -24974, 24973, -1, 62437
24974, -12488, 1, 12487, 12485, 24974, -12488, 12487, 2
9, 1, 24974, -10, -3, -10, -24974, -3, 24989
-1, 24974, 2, 24974, -3, -24970, 24972, 24974, 0
-24974, -24974, 0, -12486, -12487, 12488, -12487, -12487, 74921
-24974, 1, 3, -1, 3, -24974, 24974, -1, 49946
5, 7, 7, 24974, 4, -6, 1, -2, 0
12487, -12489, 1, -12485, 24973, 24974, 12487, 12487, 0
-2, -33298, -33297, 33299, 1, -33299, -33299, 33299, 99896
9, -24974, 9, 4, 1, 6, 4, 2, 24964
-24974, -12484, -1, -12485, 12488, 12487, -24974, -24974, 74920
-24974, 12486, -24974, -1, -24974, -12488, 24973, 12486, 62437
24974, 24974, -1, -1, -2, 24974, 3, -2, 0
12488, -24974, -12487, -12487, 0, -24974, -12487, -12486, 74921
-4, 7, 2, -4, 7, 6, 1, 24974, 0
