-6661, 6658, -6660, -13319, 13320, 19979, 13321, 19979, 1
-16648, -16651, 33299, -16649, 33299, -16649, -16651, -16650, 66599
-6659, 19979, -6659, -6658, -19979, 6659, -19979, -19978, 53275
-24973, -24972, 3, -2, -4, 24971, 24970, 24974, 24977
8, 10, 7, 10, -3, 2, -4, -6, 0
6663, -6657, 6663, 19979, 6658, -13318, 6659, -6656, 6655
19978, 19976, 19978, 19974, -19979, -19975, -19979, 3, 19980
-6, -4, -6, 1, 4, 5, 4, 2, 8
-1, 33299, -33299, 33299, 33299, -33299, -33298, 1, 66598
2, -24973, -24973, -1, 24971, 24972, -3, 24974, 24976
-49949, -49949, -49949, 49948, -49949, -49949, -49949, 1, 249745
-3, 6, 4, 24974, -6, -5, 1, -2, 9
-16651, -16649, 33299, -16650, 33299, -16651, -16648, -16649, 66599
33299, -16650, -16651, -16652, -16648, -16652, 33299, -16647, 66601
12488, 1, 12488, -24974, 24974, 12486, 24974, 12487, 0
33299, -4, -2, -1, -3, -2, 33299, -4, 11
