1, 19979, 19977, 19978, 2, -2, -2, -19978, 3
-6, 2, -2, -13, 1, 19979, 12, 13, 7
-4, 5, 19979, -1, -9, 7, 19979, -2, 3
19979, 9987, 9990, -9991, -9990, 0, -9988, -9991, 19982
2, -2, -2, -7, 1, 19979, 6, 7, 3
-19979, 7, 9, -3, 2, -1, 19979, -4, 19976
-9990, 0, -9990, -9991, 19979, 9988, 9990, -9991, 19983
-1, -2, -19979, 1, 19979, 19979, 19977, -1, 4
19979, 19979, 19977, -1, -1, -2, -19979, 1, 4
-9989, 1, -9990, 9992, 19979, 9987, 9989, 9992, 0
3995, -7993, 3999, 15985, 3994, -11987, 7992, 15986, 0
9990, 19979, 9987, 9988, -9991, 9991, -9991, -9989, 9993
12485, -12486, -24974, 24974, -24974, -24974, 12488, -1, 62435
-24974, -24974, 24972, -1, 1, -2, -24974, 24974, 49951
-6658, -19979, 13320, 13321, -1, 6659, -6659, 19979, 13318
-1, 3, -3, 19979, -2, -19979, 7, 8, 19975
