24974, 12486, 1, -12489, 12487, 12487, -12485, 12488, 0
-49949, -49948, -1, -49949, 49949, -49949, -49948, 49949, 199795
-16651, 16650, 16649, -33299, -33299, 16648, -33299, 33299, 83249
12488, -24974, 1, -12486, -24974, -24974, 12485, 12489, 62434
24974, -2, -3, -1, -4, -5, 24974, -5, 13
2, -1, -33299, -3, 3, 2, -33299, -2, 66600
24974, 5, -3, 24974, -6, 6, 1, -2, 4
-24974, 2, 1, 2, 15, 13, 15, 14, 24958
-49949, -49949, -49948, 49949, -49949, 1, -49948, 49949, 199794
-24974, 1, -1, 3, -24971, -24973, -24974, -24974, 99893
-49949, -49948, 49949, 49949, -49949, 1, 49949, -49949, 149846
24971, 24974, 24974, 24974, 1, -2, -24969, -3, 0
-33299, -33299, 2, -33299, 1, 33297, -33298, -33299, 133195
-16650, 33299, 33299, -33299, -16651, -33298, 16648, -16649, 83248
-16648, -16651, -33299, 16650, 33299, -16651, 16650, -33299, 83249
-1, 33299, -33296, 33299, 33298, -2, 33297, 33298, 0
-33298, -1, -33299, -33299, -33299, 33299, 2, -33297, 133194
6, -24974, 3, 2, 10, 10, 5, 9, 24962
