-33299, -16649, -16650, -33299, 16649, 16651, -33299, -16648, 116545
5, 4, 5, 4, 1, -24974, 2, 2, 24968
-12489, 12487, -24974, 12487, -12486, -12488, -12488, 12485, 49951
6, -4, 1, -4, -2, 24974, 24974, 9, 0
16650, -33299, -16651, 16648, -33299, 33299, -16650, 16650, 66600
3, 5, 3, 5, 3, 1, -24974, 1, 24968
-2, -3, 33299, 3, 1, 2, -3, 3, 4
2, 24974, 2, -4, -24974, 1, -24974, -5, 49951
11099, -11099, -33299, -33299, -33299, -11101, 22200, 22199, 88798
-16650, 16649, 33299, -16647, 16650, -16650, 16650, 16646, 16651
-12483, -12491, -12489, 12484, -12488, -12490, 12489, -24974, 62442
16651, -33299, 16650, -33299, 16649, -33299, -33299, -16648, 116545
-1, -16650, 33299, -16650, -33297, -33299, -33299, -16648, 116545
-6, 2, 1, 3, -5, 24974, 24974, -5, 9
6, 3, -2, 3, 24974, 4, 4, -7, 0
-3, -3, -1, -2, 7, 6, 7, 24974, 0
