-16650, -16650, 33299, -16651, -33299, -16648, -1, -33299, 99899
2, -24973, -24972, -24971, -24973, -24974, -1, 24972, 99890
16649, -33299, -16649, -33299, 33299, 16650, 16648, -16650, 66599
2, 2, 1, -24974, 7, 7, 6, 7, 24966
24974, 12491, 24974, 24974, 2, 12481, -12492, -12482, 0
-33299, -1, -33299, -33299, -33297, 33297, 1, 33298, 99896
-24973, 24971, -24972, -2, 24972, -24974, -1, -24973, 74921
-2, -3, -1, 7, 6, 24974, -3, 7, 0
4, 4, 5, 1, 2, 2, 5, -24974, 24968
-33299, -16649, -16650, 16649, 16651, -16648, -33299, -33299, 116545
-2, 2, 33299, 3, -3, 1, -3, 3, 4
3, 3, -2, 24974, 4, -8, 6, 4, 1
8326, 16648, -24974, -8324, -24973, 8325, -16649, -24973, 74919
-33299, -33299, 33297, 33297, -33299, -1, 33298, -33299, 99898
-2, -2, 1, -24974, 24974, -4, -5, 24974, 24981
6, 6, 7, 1, -24974, 4, 7, 2, 24966
