-33299, 33299, 33299, -33299, -1, -33298, 33299, -1, 66599
-16652, -16650, 33299, 16650, -33299, -16647, -16651, -33299, 99899
-49948, 49949, -49949, 49949, -1, -49949, 49948, -49949, 149847
33299, -33297, 1, -33299, 2, -33299, -33298, -33297, 133191
16651, 16650, -8323, 8326, -8325, -24974, -8325, 24974, 24973
-33299, -1, -33299, 33299, -2, 33298, 33297, 33298, 33302
-16654, 33299, -16654, -33299, 16644, -16653, -33299, -16645, 99906
-2, -4, -4, -4, 24974, 3, 24974, 1, 9
-16647, 16651, 16652, 16650, 33299, -16651, 16646, -33296, 33297
-16650, -16650, -16650, -16649, 33299, -33299, -16649, 33299, 83248
33299, -4, 5, 3, 33299, -4, 33299, 1, 0
-5, 2, -3, 2, 4, 24974, 24974, 6, 0
13, 14, 15, 11, -24974, 8, 2, 3, 24958
33299, 22199, -11100, -11100, 33299, 33298, 33299, -11099, 0
-33299, -2, -33297, 1, 33299, 33298, -33299, -33299, 99897
-16650, -33299, 16648, 16650, -33299, 16651, 16651, -33299, 83248
-33299, -2, 33299, -33298, -33299, -33297, 1, 33299, 99896
16650, -16651, -16650, -16651, -33299, -33299, 16648, -33298, 116549
33299, -2, -33299, -33297, -33299, 33299, -33298, 1, 99896
24972, 1, 24971, 24972, 24973, 24973, -24974, 2, 0
