16650, -16651, -16650, -33299, 16651, -16648, -16650, -33299, 99898
-16650, -16652, 16651, -33299, 16648, 33299, -33299, -16649, 83250
-12486, 2, -12483, -12484, 12488, 12490, 24974, 12489, 12479
24971, 24972, 24973, -8327, -16647, -8325, -24974, 8326, 24975
-24970, -3, 24971, -24971, -1, 24971, 2, 24974, 24972
-16650, -16650, -16650, 33299, 33298, 33299, -1, 33297, 16652
-7, -3, -12, 4, 8, 10, 11, -6, 14
-24973, 1, -24970, -24974, 24974, -2, 24972, 24973, 49945
-49949, 49949, -49949, -49948, -49949, 49949, -49949, -1, 199796
-2, -24974, -24974, 4, 5, -1, 24974, 2, 49945
-24973, -24974, -24970, -24972, -1, -2, 24974, 24974, 74918
16651, 33299, -16648, 16650, -16650, -16650, -16650, 33299, 33299
4, -3, -5, -2, 8, 24974, 6, 7, 0
-1, -2, 24974, 24974, -24973, -24974, -24970, -24972, 74918
2, 12489, 12486, 24974, -12489, -12483, 12488, -12489, 12487
24974, -6243, 6246, 12488, -12488, 1, -6244, -24974, 37460
16648, 33299, -33299, -16650, -16650, -16651, 33298, -33299, 83250
24973, 24974, 16648, 16649, 8326, -8325, -8327, -8322, 0
24969, 24970, 24974, 24971, -24968, 1, -2, -4, 0
33299, -16650, 16650, 16649, 33299, -16651, 16648, 33298, 2
