-33299, -33299, 2, -33299, 33297, -33299, -33298, 1, 133195
-49949, -49949, -49948, -1, -49949, 49949, -49948, 49949, 199795
-16648, 16650, -33299, -16651, -16651, -33299, 16650, 33299, 83249
12488, -12486, 1, -24974, -24974, 12489, 12485, -24974, 62434
24974, -1, -3, -2, -24972, -24972, 24974, -24971, 49947
-33299, -33299, 16650, 16650, -16648, 16651, -33298, -33299, 116544
-16651, -33299, -33299, -16648, 33299, -16650, 16649, -33299, 116547
24974, 24974, -3, 5, 7, -3, 1, -7, 5
24974, -12489, 1, 12484, 12487, 12488, -12483, 12487, 0
-16650, -33299, 33299, 33299, -16651, -16650, 16648, -33298, 83249
16650, -16651, -33299, -16648, 16650, -16650, -33299, 33298, 83248
-49949, 49949, 49949, -49948, 1, -49949, 49949, -49949, 149846
-11099, 33299, -11100, 33299, -11100, 22200, 22199, 33298, 0
-49949, 49949, -49948, -49949, 1, 49949, -49948, -49949, 199794
24970, 1, 2, -24974, 24973, 24972, 3, 24973, 0
24971, 24974, 24974, 24974, -2, -24969, -3, 1, 0
-24974, 3, -1, 1, -24973, -24974, -24974, -24971, 99893
-24974, 2, 1, 2, 3, 4, 5, 5, 24968
