-24974, -4, 11, -4, 13, -15, 3, -12, 24993
24973, 24974, 24972, 24971, -3, -1, -24968, -2, 0
-16649, -16649, 33299, 33299, -33299, -33299, -16650, 33299, 83247
4, 2, 1, 1, 3, -24974, 4, 4, 24969
1, -33299, 33298, -33297, -33299, -33299, 33299, -33297, 133192
-16649, 16651, 33299, 16648, -16650, 33299, 33299, 33298, 0
1, -33299, 33299, -33299, 33299, -33298, -33299, -1, 99897
1, -33299, 2, -33298, -33299, 33299, -33299, 33297, 99896
-33299, 16658, -33299, 16639, -16656, -16657, 16640, -16657, 83271
-1, -33299, -33299, 33299, 33298, -33297, 1, 33298, 66597
8, 5, -6, -6, 24974, 3, 4, 4, 0
33299, -16651, -33299, 16650, -16650, -33299, -33299, -16648, 116547
-24974, 24974, -24972, -24974, -24973, -1, -2, 24970, 74922
-24974, -6, -2, -8, -8, 9, -9, -1, 24998
-24974, 2, 3, 2, 15, 17, 14, 17, 24956
24974, -8325, -8325, 8326, 8323, 24974, 24973, -8325, 1
-3, 2, 2, 4, 24974, 4, -3, 1, 0
