24971, -24969, -3, 24974, -2, 24970, 4, 24974, 0
-5, -33299, 3, -1, 2, -4, -5, -3, 33311
24974, 24974, 12488, 12487, -12485, 2, -12486, -12484, 12481
33299, 16650, -1, -33299, -33299, -16650, 33299, -16648, 66598
-33299, 5, 33299, -6, -1, 5, 33299, 6, 33295
-6, 2, -1, -6, 5, 5, 24974, -3, 9
16648, -16651, -16652, -16650, -33298, -33299, 16650, -16647, 99898
-2, -33297, -33297, 1, 33299, -33299, -33298, -33299, 133193
11, 6, 7, -5, -24974, 1, 5, -24974, 49941
1, -3, -5, 3, -5, 24974, -4, 2, 11
33299, -33299, -16651, -33299, -16650, -16650, -16650, 16648, 99900
8, -1, 9, -18, 24974, 11, 18, 24974, 0
-2, 12488, 12486, 24974, 12489, -12487, -12485, 24974, 0
-33299, 33299, -11100, 11100, -11099, -22199, -33299, 22199, 77697
24974, 5, 6, 24974, 3, -1, 2, -6, 0
-12485, 2, -12486, -12484, 24974, 24974, 12488, 12487, 12481
2, 33299, 33297, -1, 33296, 33299, -33299, -33299, 33300
-16650, -16648, 16651, 33299, -16651, 16650, 33299, -33299, 49949
