-1, -2, -1, 2, 2, 1, -2, -2, 5
-1, 2, 1, -2, -1, -2, 2, -1, 5
3, -3, -3, 1, 2, -3, 1, -3, 9
2, -3, 3, -2, -2, 1, 1, -3, 7
-5, 3, -5, 2, 2, 4, 6, 1, 4
-3, 2, -2, -3, -1, -1, 2, -3, 10
2, -2, -3, -2, -3, 1, -1, 2, 8
1, 2, -1, -2, 2, 1, 1, 0, 1
35, 66, -34, 100, -100, 100, 31, -34, 68
4, 9, 9, 7, 2, -5, -3, -1, 0
2, -1, 0, 2, 2, 2, -1, 1, 0
4, -2, -2, -6, 3, -1, 6, 5, 5
-2, -1, 1, 2, 0, -2, -1, -2, 6
2, -4, 5, 1, -3, -4, 4, 2, 6
-2, -3, 3, -1, 3, -2, -3, -1, 9
1, 3, 2, -8, 7, 7, 5, 3, 0
-3, -1, -2, -3, -3, -1, -4, 2, 13
0, 2, 1, 1, 1, -1, -1, 1, 0
-1, 1, 1, -1, -1, 1, -1, -1, 4
7, 6, 3, 5, -7, 3, 1, 2, 0
-1, -1, 0, 1, 0, 1, 1, 1, 1
